Date,Close,High,Low,Open,Volume,Price,India_10Y_Yield,India_PMI,Log_Return,EMA,MACD_Line,RSI,Sentiment_Score,Log_Return_lag1,EMA_lag1,MACD_Line_lag1,RSI_lag1,India_10Y_Yield_lag1,India_PMI_lag1,Sentiment_Score_lag1,Target_Return
2021-05-27,15337.849609375,15384.5498046875,15272.5,15323.9501953125,0,15337.849609375,7.180345728371764,58.91542931223911,0.0023759962804964516,14950.002060526436,198.6846744895247,69.59935289175095,-0.05338785166901816,0.0060964006336564555,14909.176002752904,188.02047789762946,68.71745061949548,7.409780590050257,55.3162970663344,0.06837064736688378,0.0023759962804964516
2021-05-28,15435.650390625,15469.650390625,15394.75,15421.2001953125,468100,15435.650390625,7.021143638814829,58.16792632232996,0.006356190262519319,14996.254282440586,212.57737317845204,71.89221316066728,0.003587548832293619,0.0023759962804964516,14950.002060526436,198.6846744895247,69.59935289175095,7.180345728371764,58.91542931223911,-0.05338785166901816,0.006356190262519319
2021-05-31,15582.7998046875,15606.349609375,15374.0,15437.75,436000,15582.7998046875,7.148641221224154,56.58903401347411,0.00948793489109113,15052.115760749817,232.7778467980861,74.95311485314622,0.08442615928541194,0.006356190262519319,14996.254282440586,212.57737317845204,71.89221316066728,7.021143638814829,58.16792632232996,0.003587548832293619,0.00948793489109113
2021-06-01,15574.849609375,15660.75,15528.2998046875,15629.650390625,409600,15574.849609375,7.250319157925366,59.40955523287181,-0.000510320620107419,15101.899936809357,245.31748608428825,74.48118953349132,0.08387919612809086,0.00948793489109113,15052.115760749817,232.7778467980861,74.95311485314622,7.148641221224154,56.58903401347411,0.08442615928541194,-0.000510320620107419
2021-06-02,15576.2001953125,15597.4501953125,15459.849609375,15520.349609375,428600,15576.2001953125,7.062092285695595,59.06560229475878,8.67120656808025e-05,15147.071390000132,252.45408798063727,74.5105506897618,0.0489547320050186,-0.000510320620107419,15101.899936809357,245.31748608428825,74.48118953349132,7.250319157925366,59.40955523287181,0.08387919612809086,8.67120656808025e-05
2021-06-03,15690.349609375,15705.099609375,15611.0,15655.5498046875,410200,15690.349609375,7.054854880986866,56.29023342302421,0.007301728008600275,15198.812172797738,264.274409243666,76.92687535391403,0.014388349334316847,8.67120656808025e-05,15147.071390000132,252.45408798063727,74.5105506897618,7.062092285695595,59.06560229475878,0.0489547320050186,0.007301728008600275
2021-06-04,15670.25,15733.599609375,15622.349609375,15712.5,414200,15670.25,7.397591524598543,56.298404139916194,-0.0012818385093088212,15243.711013483668,268.9202828842881,75.56845558056925,-0.06997597542299838,0.007301728008600275,15198.812172797738,264.274409243666,76.92687535391403,7.054854880986866,56.29023342302421,0.014388349334316847,-0.0012818385093088212
2021-06-07,15751.650390625,15773.4501953125,15678.099609375,15725.099609375,394000,15751.650390625,7.318229531363361,59.79252713203701,0.0051811361952536165,15292.086192259032,275.9890722208511,77.31551763416965,-0.057760174052632965,-0.0012818385093088212,15243.711013483668,268.9202828842881,75.56845558056925,7.397591524598543,56.298404139916194,-0.06997597542299838,0.0051811361952536165
2021-06-08,15740.099609375,15778.7998046875,15680.0,15773.900390625,378200,15740.099609375,7.242677800740062,55.82264054313752,-0.0007335750962069031,15334.754136746267,277.4606930290338,76.47977308299392,-0.06315269704277782,0.0051811361952536165,15292.086192259032,275.9890722208511,77.31551763416965,7.318229531363361,59.79252713203701,-0.057760174052632965,-0.0007335750962069031
2021-06-09,15635.349609375,15800.4501953125,15566.900390625,15766.2998046875,457900,15635.349609375,7.47654356066215,58.32810597943632,-0.0066772200430738555,15363.382276996623,267.0956017188746,69.1768758944453,0.016550827739447965,-0.0007335750962069031,15334.754136746267,277.4606930290338,76.47977308299392,7.242677800740062,55.82264054313752,-0.06315269704277782,-0.0066772200430738555
